代码,名称,概率,赔率,凯利仓位,半凯利仓位,凯利止损价,止损比例,盈亏比
300652,雷迪克,100.00%,106.75%,100.00%,50.00%,40.20,13.74%,7.77
002590,万安科技,85.71%,145.54%,84.81%,42.40%,10.16,9.26%,15.72
603121,华培动力,83.33%,97.72%,81.16%,40.58%,18.05,12.76%,7.66
002488,金固股份,80.56%,63.20%,77.56%,38.78%,10.79,9.74%,6.49
600480,凌云股份,77.14%,45.58%,69.29%,34.65%,12.65,15.65%,2.91
002537,海联金汇,72.97%,65.11%,68.55%,34.27%,5.79,10.66%,6.11
002101,广东鸿图,70.00%,80.01%,66.98%,33.49%,10.32,8.06%,9.93
301119,正强股份,71.43%,79.63%,66.01%,33.01%,25.05,15.10%,5.27
002806,华锋股份,68.42%,84.90%,64.22%,32.11%,9.67,11.28%,7.52
601279,英利汽车,62.50%,46.88%,59.38%,29.69%,3.37,3.90%,12.01
603809,豪能股份,62.50%,115.02%,58.55%,29.27%,13.15,12.12%,9.49
000901,航天科技,55.17%,37.47%,47.12%,23.56%,9.41,6.73%,5.57
002662,京威股份,54.00%,58.85%,45.89%,22.95%,3.11,10.37%,5.67
000030,富奥股份,56.25%,33.53%,44.08%,22.04%,4.71,9.33%,3.60
301160,翔楼新材,50.00%,85.72%,37.73%,18.87%,74.11,21.03%,4.08
300611,美力科技,54.29%,53.04%,33.76%,16.88%,19.91,23.81%,2.23
603922,金鸿顺,33.33%,35.84%,13.07%,6.53%,19.58,10.90%,3.29
605208,永茂泰,38.10%,26.59%,-0.77%,-0.39%,8.40,16.70%,1.59
301535,浙江华远,0.00%,nan%,nan%,nan%,nan,nan%,nan
603409,汇通控股,0.00%,nan%,nan%,nan%,nan,nan%,nan
